Fold,Train_MSE,Train_R2,Test_MSE,Test_R2
39,0.3417724225865216,0.9424294451948669,2.200663636363637,0.5851348125625492
40,0.3520089708561027,0.9417575601137761,1.6489282555282554,0.6540572736305927
41,0.34965741347905355,0.9406702310715417,2.2791353808353816,0.6122519227552528
42,0.3314265573770501,0.942677841958519,2.750302702702703,0.543360042460499
43,0.33639360830374326,0.942970178257445,2.4219965517241384,0.6023193623592545
44,0.33719116816899014,0.9420991247109544,2.544948686371102,0.580369105619499
45,0.3467299735955576,0.9407546783217214,2.3210652709359607,0.6238433777037325
46,0.3191207116104867,0.9496795294265105,1.5294152637485972,0.7002089993835211
47,0.30832802746566806,0.9492035204729591,3.0742466891133584,0.5954660521561166
48,0.3015639450686644,0.9513031581427405,2.263839057239056,0.6367325524851148
49,0.3054963920099877,0.9495631591388264,2.458095173961841,0.5963586159211138
50,0.30617270911360833,0.9507332233485158,2.028546240179575,0.6660100088686223
51,0.29971466916354567,0.951612663155417,2.1489479236812574,0.6081618271749402
52,0.30357432921502564,0.9506426911921393,1.818739752252253,0.6655954488510124
53,0.3192342443529272,0.9477860482413285,2.1909961711711716,0.6642291800781474
54,0.3037851990515414,0.9508035791292668,2.1641389639639654,0.660782302704757
55,0.5414953239289445,0.907934017568362,5.273446244131455,0.2857246724682196
56,0.5521896029258094,0.9093058849376585,4.429929812206572,0.2732072532265459
57,0.570245402298851,0.9075418746886496,3.5645262910798103,0.3057754715098509
58,0.5718974399164058,0.9077123953919687,3.7871495305164316,0.24913268099391647
59,0.5880371995820277,0.9032927489765324,3.328108685446009,0.4154909504221879
60,0.5678083072100324,0.9079468777775966,3.8526795774647895,0.2737496253109987
61,0.5731339080459769,0.9056241500602296,3.9175253521126785,0.3412494424181339
62,0.6013606108065787,0.9016088767413692,3.0686527186761214,0.4989616346694143
63,0.5310519968676585,0.9090577366565781,4.790005910165485,0.34077830767730893
64,0.7782295350360181,0.8637021639949692,5.6121865497076024,0.06513701188107175
65,0.7899520628683693,0.8630418952541238,5.78879590643275,0.0021903247300926187
66,0.7886114603798297,0.8660379526088523,4.149870175438597,0.07338026650405301
67,0.7581327439423702,0.8681606798944225,6.421348538011698,-0.0920176063315404
68,0.7970234446627371,0.8637075631969798,5.447259649122807,-0.02348891651455946
69,0.7822386928104571,0.8672398415178426,5.32390119047619,-0.005819960339447576
70,0.7983047058823528,0.8642420712613931,5.453692857142858,-0.06583541130127668
71,0.7869652287581695,0.8637654301429456,6.003311309523812,0.11698427384215548
72,0.7824450980392155,0.8613392785065588,6.556051190476189,0.012327112598799336
73,0.20969170492520406,0.9657595566729595,1.727234738617203,0.7340969188137109
74,0.2905819601203908,0.9542384743011837,2.0685353637901867,0.671951264774712
75,0.25087343419554325,0.9576510358726497,1.562426608187134,0.67255308044729
76,0.2771690441708915,0.9532188892092481,2.1149401737242135,0.6429447969579759
77,0.3568584061930789,0.9403567159854435,2.203483865683866,0.6333826180046193
78,0.3027797003745322,0.9491965207170509,2.1219968574635253,0.6665832036518706
79,0.582362643678161,0.9055433200974191,3.5581917840375588,0.34356944304213544
80,0.8023349050425669,0.8647756364086447,5.459114035087719,0.007953606557816517
