	0
R4HSPNIT	0.16134125744681488
R4OOPMD	0.16102801330687785
R4JLOCCA	0.158891038442265
S4AGEY_E	0.1585652728178915
S4AGEY_M	0.1584945264392961
S4AGEY_B	0.15845127980723112
S4AGEM_E	0.1584200351010625
S4AGEM_M	0.15839355497036317
S4AGEM_B	0.15837349778825222
S4EVBRNF	0.1567889705448171
S4STOOPA	0.1555379948552119
R4HLPPDNFN	0.1541887348810522
R4MONEYH	0.15409334363007712
S4PUSHA	0.15353726713670607
S4SLFMEM	0.153507867982163
S4JOGA	0.1534046243204165
R4DIME	0.15317403164613227
R4LUNG	0.1528973621553955
R4PSYCH	0.15149862858857024
R4HEARTQ	0.15023005648686052
R4MEMRY	0.14934936469938276
R4ISSDI	0.148529929960977
R4MEMRYE	0.1484330709202624
